Artist,Song,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Jonathan Coulton,I Feel Fantastic,0iq3MFEbuKTWJgdhwdOwXI,0.786,0.859,11.0,-5.893,0.0,0.0709,0.319,0.0,0.0719,0.772,99.977,audio_features,spotify:track:0iq3MFEbuKTWJgdhwdOwXI,https://api.spotify.com/v1/tracks/0iq3MFEbuKTWJgdhwdOwXI,https://api.spotify.com/v1/audio-analysis/0iq3MFEbuKTWJgdhwdOwXI,185653.0,4.0
Gorillaz,Feel Good Inc.,0d28khcov6AiegSCpG5TuT,0.818,0.705,6.0,-6.679,1.0,0.177,0.00836,0.00233,0.613,0.772,138.559,audio_features,spotify:track:0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/tracks/0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/audio-analysis/0d28khcov6AiegSCpG5TuT,222640.0,4.0
Blue October,Hate Me,1tL40tfdtUaSLek4DvDDr3,0.449,0.691,4.0,-5.65,0.0,0.0349,0.477,0.0,0.0966,0.201,93.267,audio_features,spotify:track:1tL40tfdtUaSLek4DvDDr3,https://api.spotify.com/v1/tracks/1tL40tfdtUaSLek4DvDDr3,https://api.spotify.com/v1/audio-analysis/1tL40tfdtUaSLek4DvDDr3,380200.0,4.0
Flogging Molly,Drunken Lullabies,0aE8nMLrrd2m6lTscFIbZw,0.385,0.969,7.0,-4.234,1.0,0.0748,0.0015,0.0462,0.0817,0.854,156.177,audio_features,spotify:track:0aE8nMLrrd2m6lTscFIbZw,https://api.spotify.com/v1/tracks/0aE8nMLrrd2m6lTscFIbZw,https://api.spotify.com/v1/audio-analysis/0aE8nMLrrd2m6lTscFIbZw,230640.0,4.0
Flogging Molly,Devil's Dance Floor,7BLzYml7ZaxdAh9yf3Esi8,0.468,0.919,4.0,-6.32,0.0,0.053,0.0336,0.000618,0.0498,0.899,144.792,audio_features,spotify:track:7BLzYml7ZaxdAh9yf3Esi8,https://api.spotify.com/v1/tracks/7BLzYml7ZaxdAh9yf3Esi8,https://api.spotify.com/v1/audio-analysis/7BLzYml7ZaxdAh9yf3Esi8,239653.0,4.0
Flogging Molly,The Seven Deadly Sins,2rAZBVYI9r9UZe0kF5X9Dv,0.454,0.984,2.0,-3.568,1.0,0.0905,0.000901,2.15e-05,0.329,0.78,159.973,audio_features,spotify:track:2rAZBVYI9r9UZe0kF5X9Dv,https://api.spotify.com/v1/tracks/2rAZBVYI9r9UZe0kF5X9Dv,https://api.spotify.com/v1/audio-analysis/2rAZBVYI9r9UZe0kF5X9Dv,170147.0,4.0
Flogging Molly,What's Left Of The Flag,7vKqEn0DeMIxl0Gt4UF9wL,0.207,0.955,7.0,-4.33,1.0,0.0932,0.00315,1.84e-05,0.293,0.607,156.125,audio_features,spotify:track:7vKqEn0DeMIxl0Gt4UF9wL,https://api.spotify.com/v1/tracks/7vKqEn0DeMIxl0Gt4UF9wL,https://api.spotify.com/v1/audio-analysis/7vKqEn0DeMIxl0Gt4UF9wL,218960.0,4.0
Kris Allen,Live Like We're Dying,51YhN4y2tOvfI0Sv1hoBRo,0.578,0.9,0.0,-2.501,1.0,0.0443,0.0267,0.0,0.287,0.934,92.011,audio_features,spotify:track:51YhN4y2tOvfI0Sv1hoBRo,https://api.spotify.com/v1/tracks/51YhN4y2tOvfI0Sv1hoBRo,https://api.spotify.com/v1/audio-analysis/51YhN4y2tOvfI0Sv1hoBRo,212747.0,4.0
The Cardigans,Lovefool - Radio Edit,6vvYOBxKmCvUSEQgxdZiAq,0.648,0.688,9.0,-4.671,1.0,0.0282,0.0251,3.08e-06,0.149,0.937,111.854,audio_features,spotify:track:6vvYOBxKmCvUSEQgxdZiAq,https://api.spotify.com/v1/tracks/6vvYOBxKmCvUSEQgxdZiAq,https://api.spotify.com/v1/audio-analysis/6vvYOBxKmCvUSEQgxdZiAq,198240.0,4.0
Red Hot Chili Peppers,Otherside,4XVof6b8iRlZfnxtfFpfIr,0.458,0.795,0.0,-3.265,1.0,0.0574,0.00316,0.000202,0.0756,0.513,123.229,audio_features,spotify:track:4XVof6b8iRlZfnxtfFpfIr,https://api.spotify.com/v1/tracks/4XVof6b8iRlZfnxtfFpfIr,https://api.spotify.com/v1/audio-analysis/4XVof6b8iRlZfnxtfFpfIr,255373.0,4.0
